Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[12.95, 80.16]",31,5,7167.485,0.3196,Chennai,Rejected,0.0,0.0,0.0,0.0
1,"[12.96, 80.16]",95,7,16386.127,0.5336,Chennai,Rejected,0.0,0.0,0.0,0.0
2,"[12.97, 80.16]",30,2,10734.8937,0.5097,Chennai,Rejected,0.0,0.0,0.0,0.0
3,"[12.98, 80.16]",70,20,11963.4656,0.2471,Chennai,Rejected,0.0,0.0,0.0,0.0
4,"[12.99, 80.16]",0,0,3107.5251,0.4104,Chennai,Rejected,0.0,0.0,0.0,0.0
5,"[13.0, 80.16]",2,0,2125.9253,0.2729,Chennai,Rejected,0.0,0.0,0.0,0.0
6,"[13.01, 80.16]",55,6,11031.3378,0.494,Chennai,Rejected,0.0,0.0,0.0,0.0
7,"[13.02, 80.16]",143,27,21545.8286,0.6052,Chennai,Rejected,0.0,0.0,0.0,0.0
8,"[13.03, 80.16]",147,22,21567.3519,0.5564,Chennai,Rejected,0.0,0.0029219999999999997,0.0,0.0
9,"[13.04, 80.16]",190,44,28222.6822,0.6306,Chennai,Rejected,0.0,0.0,0.0,0.0
10,"[13.05, 80.16]",178,43,27091.5539,0.5479999999999999,Chennai,Rejected,0.0,0.0,0.0,0.0
11,"[13.06, 80.16]",96,9,21051.2249,0.486,Chennai,Rejected,0.0,0.0,0.0,0.0
12,"[13.07, 80.16]",117,15,21079.6449,0.5445,Chennai,Rejected,0.0,0.0,0.0,0.0
13,"[13.08, 80.16]",117,17,22596.2384,0.5618,Chennai,Rejected,0.0,0.0,0.0,0.0
14,"[13.09, 80.16]",42,6,12113.9571,0.5659,Chennai,Rejected,0.0,0.0,0.0,0.0
15,"[13.1, 80.16]",60,7,16767.338,0.5396,Chennai,Rejected,0.0,0.0,0.0,0.0
