Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
0,"[22.49, 88.27]",122,21,15139.519,0.3127
1,"[22.5, 88.27]",10,0,4234.2364,0.5043
2,"[22.51, 88.27]",10,0,3488.3989,0.2717
3,"[22.52, 88.27]",16,1,6033.7221,0.5428
4,"[22.53, 88.27]",9,2,5240.854,0.5708
5,"[22.54, 88.27]",20,1,6452.6704,0.548
6,"[22.55, 88.27]",15,0,3920.1845,0.2518
7,"[22.56, 88.27]",0,0,1477.5088,0.4143
8,"[22.57, 88.27]",7,0,3310.3202,0.2367
9,"[22.58, 88.27]",22,5,8217.3211,0.3787
10,"[22.59, 88.27]",14,1,3640.9695,0.2085
11,"[22.6, 88.27]",0,0,307.3568,0.2478
12,"[22.61, 88.27]",5,0,4856.4546,0.1983
13,"[22.62, 88.27]",0,0,1556.665,0.2374
14,"[22.49, 88.28]",42,1,9449.3881,0.2445
15,"[22.5, 88.28]",0,0,2418.1656,0.4244
16,"[22.51, 88.28]",5,0,3420.6063,0.4643
17,"[22.52, 88.28]",13,0,5713.9411,0.5326
18,"[22.53, 88.28]",13,0,5341.5383,0.5628
19,"[22.54, 88.28]",29,1,8204.093,0.6167
20,"[22.55, 88.28]",11,2,5178.1624,0.2488
21,"[22.56, 88.28]",23,1,4822.3974,0.5832
22,"[22.57, 88.28]",4,0,2099.2321,0.3631
23,"[22.58, 88.28]",30,2,9056.8655,0.4957
24,"[22.59, 88.28]",5,0,3176.0186,0.5139
25,"[22.6, 88.28]",1,0,2021.7956,0.5459
26,"[22.61, 88.28]",1,0,1535.7424,0.2297
27,"[22.62, 88.28]",3,0,3474.6096,0.4929
28,"[22.49, 88.29]",98,1,15836.7582,0.5276
29,"[22.5, 88.29]",10,0,2411.1547,0.396
30,"[22.51, 88.29]",11,0,4576.8716,0.4284
31,"[22.52, 88.29]",2,0,3262.613,0.3106
32,"[22.53, 88.29]",30,0,6228.5694,0.5164
33,"[22.54, 88.29]",16,1,5580.387,0.4509
34,"[22.55, 88.29]",27,5,8046.8418,0.386
35,"[22.56, 88.29]",22,1,4925.6333,0.4864
36,"[22.57, 88.29]",6,3,3578.5099,0.4934
37,"[22.58, 88.29]",17,4,6738.5773,0.5289
38,"[22.59, 88.29]",29,1,6964.8163,0.5912
39,"[22.6, 88.29]",0,0,1083.3827,0.4004
40,"[22.61, 88.29]",0,0,525.2161,0.2488
41,"[22.62, 88.29]",24,2,8296.9766,0.5655
42,"[22.49, 88.3]",193,21,25206.3328,0.6622
43,"[22.5, 88.3]",73,10,14288.7937,0.6251
44,"[22.51, 88.3]",14,2,5488.8083,0.5202
45,"[22.52, 88.3]",4,1,4730.9305,0.415
46,"[22.53, 88.3]",58,7,9844.1692,0.5235
47,"[22.54, 88.3]",72,9,11123.9852,0.5139
48,"[22.55, 88.3]",53,3,10353.3583,0.5015
49,"[22.56, 88.3]",57,2,10624.0646,0.4457
50,"[22.57, 88.3]",102,4,14600.5699,0.6177
51,"[22.58, 88.3]",31,1,8492.3295,0.5886
52,"[22.59, 88.3]",10,0,4988.5292,0.4307
53,"[22.6, 88.3]",18,1,5381.2527,0.4945
54,"[22.61, 88.3]",21,3,5857.1146,0.4811
55,"[22.62, 88.3]",18,0,6897.8408,0.3795
56,"[22.49, 88.31]",128,13,18586.4139,0.6066
