District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Chennai,0.0,Rejected,0.0,0.0,0.0
Chennai,1.0,Rejected,0.0,0.0,0.0
Chennai,2.0,Rejected,0.0,0.0,0.0
Chennai,3.0,Rejected,0.0,0.0,0.0
Chennai,4.0,Rejected,0.0,0.0,0.0
Chennai,5.0,Rejected,0.0,0.0,0.0
Chennai,6.0,Rejected,0.0,0.0,0.0
Chennai,7.0,Rejected,0.0,0.0,0.0
Chennai,8.0,Rejected,0.0,0.002922,0.0
Chennai,9.0,Rejected,0.0,0.0,0.0
Chennai,10.0,Rejected,0.0,0.0,0.0
Chennai,11.0,Rejected,0.0,0.0,0.0
Chennai,12.0,Rejected,0.0,0.0,0.0
Chennai,13.0,Rejected,0.0,0.0,0.0
Chennai,14.0,Rejected,0.0,0.0,0.0
Chennai,15.0,Rejected,0.0,0.0,0.0
Chennai,16.0,Rejected,0.0,0.0,0.0
Chennai,17.0,Rejected,0.0,0.0,0.0
Chennai,18.0,Rejected,0.0,0.0,0.0
Chennai,19.0,Rejected,0.0,0.0,0.0
Chennai,20.0,Rejected,0.0,0.0,0.0
Chennai,21.0,Rejected,0.0,0.0,0.0
Chennai,22.0,Rejected,0.0,0.0,0.0
Chennai,23.0,Rejected,0.0,0.0,0.0
Chennai,24.0,Rejected,0.0,0.0,0.0
Chennai,25.0,Rejected,0.0,0.088386,0.378378
Chennai,26.0,PeriUrban,0.089847,0.627465,0.042367
Chennai,27.0,Urban,0.581446,0.382031,0.0
Chennai,28.0,PeriUrban,0.029872,0.650782,0.082504
Chennai,29.0,PeriUrban,0.240321,0.31775,0.008035
Chennai,30.0,Rejected,0.091308,0.202337,0.005844
Chennai,31.0,Rejected,0.0,0.0,0.0
Chennai,32.0,Rejected,0.0,0.0,0.0
Chennai,33.0,Rejected,0.0,0.0,0.0
Chennai,34.0,Rejected,0.0,0.0,0.0
Chennai,35.0,Rejected,0.0,0.0,0.0
Chennai,36.0,Rejected,0.0,0.0,0.0
Chennai,37.0,Rejected,0.0,0.0,0.0
Chennai,38.0,Rejected,0.0,0.0,0.0
Chennai,39.0,Rejected,0.0,0.0,0.0
Chennai,40.0,Rejected,0.0,0.0,0.0
Chennai,41.0,Rejected,0.0,0.0,0.0
Chennai,42.0,Rejected,0.0,0.0,0.00073
Chennai,43.0,Rejected,0.0,0.0,0.164354
Chennai,44.0,Rural,0.0,0.0,0.606282
Chennai,45.0,PeriUrban,0.06355,0.69832,0.23813
Chennai,46.0,Urban,0.864134,0.135866,0.0
Chennai,47.0,PeriUrban,0.457326,0.542674,0.0
Chennai,48.0,Urban,1.0,0.0,0.0
Chennai,49.0,Urban,0.823229,0.165814,0.0
Chennai,50.0,PeriUrban,0.200877,0.568298,0.014609
Chennai,51.0,Urban,0.408327,0.36523,0.03141
Chennai,52.0,PeriUrban,0.161432,0.422206,0.029949
Chennai,53.0,Rejected,0.0,0.073046,0.012418
Chennai,54.0,Rejected,0.0,0.0,0.005113
Chennai,55.0,Rejected,0.0,0.0,0.0
Chennai,56.0,Rejected,0.0,0.0,0.0
Chennai,57.0,Rejected,0.0,0.0,0.0
Chennai,58.0,PeriUrban,0.0,0.578524,0.034332
Chennai,59.0,PeriUrban,0.103725,0.612856,0.002922
Chennai,60.0,Rejected,0.046749,0.261505,0.0
Chennai,61.0,Rejected,0.0,0.170197,0.224251
Chennai,62.0,Rural,0.0,0.227173,0.728269
Chennai,63.0,Rural,0.0,0.208912,0.520818
Chennai,64.0,Rural,0.0,0.330898,0.669102
Chennai,65.0,PeriUrban,0.441928,0.558072,0.0
Chennai,66.0,Urban,0.730441,0.269559,0.0
Chennai,67.0,Urban,1.0,0.0,0.0
Chennai,68.0,Urban,0.606282,0.393718,0.0
Chennai,69.0,Urban,0.789627,0.210373,0.0
Chennai,70.0,PeriUrban,0.309715,0.690285,0.0
Chennai,71.0,PeriUrban,0.003652,0.996348,0.0
Chennai,72.0,PeriUrban,0.092038,0.816654,0.091308
Chennai,73.0,Rejected,0.0,0.043828,0.287071
Chennai,74.0,Rejected,0.0,0.0,0.0
Chennai,75.0,Rejected,0.0,0.0,0.0
Chennai,76.0,Rural,0.004383,0.360847,0.155588
Chennai,77.0,Urban,0.552958,0.44485,0.0
Chennai,78.0,Urban,0.582907,0.417093,0.0
Chennai,79.0,Urban,0.747261,0.252009,0.0
Chennai,80.0,Urban,0.856099,0.121987,0.0
Chennai,81.0,PeriUrban,0.455807,0.544193,0.0
Chennai,82.0,PeriUrban,0.108108,0.891892,0.0
Chennai,83.0,PeriUrban,0.26954,0.69905,0.03141
Chennai,84.0,PeriUrban,0.098612,0.834186,0.067202
