District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Hyderabad,0.0,Rejected,0.0,0.0,0.0
Hyderabad,1.0,Rejected,0.0,0.0,0.0
Hyderabad,2.0,Rejected,0.0,0.0,0.0
Hyderabad,3.0,Rejected,0.0,0.0,0.0
Hyderabad,4.0,Rejected,0.0,0.0,0.0
Hyderabad,5.0,Rejected,0.0,0.0,0.0
Hyderabad,6.0,Rejected,0.0,0.0,0.0
Hyderabad,7.0,Rejected,0.0,0.0,0.0
Hyderabad,8.0,Rejected,0.0,0.0,0.106647
Hyderabad,9.0,Rejected,0.0,0.0,0.393314
Hyderabad,10.0,Rural,0.0,0.116874,0.392257
Hyderabad,11.0,Rejected,0.0,0.260044,0.074507
Hyderabad,12.0,Rejected,0.0,0.011687,0.005844
Hyderabad,13.0,Rejected,0.0,0.0,0.0
Hyderabad,14.0,Rejected,0.0,0.0,0.0
Hyderabad,15.0,Rejected,0.0,0.0,0.0
Hyderabad,16.0,Rejected,0.0,0.0,0.0
Hyderabad,17.0,Rejected,0.0,0.0,0.0
Hyderabad,18.0,Rejected,0.0,0.0,0.0
Hyderabad,19.0,Rejected,0.0,0.0,0.0
Hyderabad,20.0,Rejected,0.0,0.0,0.0
Hyderabad,21.0,Rejected,0.0,0.0,0.0
Hyderabad,22.0,Rejected,0.0,0.0,0.0
Hyderabad,23.0,Rejected,0.0,0.0,0.0
Hyderabad,24.0,Rejected,0.0,0.0,0.00073
Hyderabad,25.0,Rejected,0.0,0.0,0.441928
Hyderabad,26.0,Rural,0.0,0.264427,0.526662
Hyderabad,27.0,Rural,0.0,0.0,0.994887
Hyderabad,28.0,Rural,0.0,0.02845,0.97155
Hyderabad,29.0,Rural,0.005113,0.411249,0.583638
Hyderabad,30.0,PeriUrban,0.143901,0.856099,0.0
Hyderabad,31.0,Rural,0.0,0.214755,0.593134
Hyderabad,32.0,Rejected,0.0,0.0,0.097882
Hyderabad,33.0,Rejected,0.0,0.0,0.0
Hyderabad,34.0,Rejected,0.0,0.0,0.0
Hyderabad,35.0,Rejected,0.0,0.0,0.0
Hyderabad,36.0,Rejected,0.0,0.0,0.0
Hyderabad,37.0,Rejected,0.0,0.0,0.0
Hyderabad,38.0,Rejected,0.0,0.0,0.0
Hyderabad,39.0,Rejected,0.0,0.0,0.0
Hyderabad,40.0,Rejected,0.0,0.0,0.0
Hyderabad,41.0,Rejected,0.0,0.0,0.0
Hyderabad,42.0,Rejected,0.0,0.0,0.0
Hyderabad,43.0,Rejected,0.0,0.0,0.393718
Hyderabad,44.0,Rural,0.0,0.0,1.0
Hyderabad,45.0,Rural,0.0,0.0,1.0
Hyderabad,46.0,Rural,0.0,0.105917,0.894083
Hyderabad,47.0,PeriUrban,0.082504,0.676387,0.24111
Hyderabad,48.0,PeriUrban,0.06428,0.702703,0.233017
