District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Chennai,0.0,Rejected,0.0,0.0,0.0
Chennai,1.0,Rejected,0.0,0.0,0.0
Chennai,2.0,Rejected,0.0,0.0,0.0
Chennai,3.0,Rejected,0.0,0.0,0.0
Chennai,4.0,Rejected,0.0,0.0,0.0
Chennai,5.0,Rejected,0.0,0.0,0.0
Chennai,6.0,Rejected,0.0,0.0,0.0
Chennai,7.0,Rejected,0.0,0.0,0.0
Chennai,8.0,Rejected,0.0,0.012418,0.002922
Chennai,9.0,Rejected,0.0,0.0,0.0
Chennai,10.0,Rejected,0.0,0.0,0.0
Chennai,11.0,Rejected,0.0,0.0,0.0
Chennai,12.0,Rejected,0.0,0.0,0.0
Chennai,13.0,Rejected,0.0,0.0,0.0
Chennai,14.0,Rejected,0.0,0.0,0.0
Chennai,15.0,Rejected,0.0,0.0,0.0
Chennai,16.0,Rejected,0.0,0.0,0.0
Chennai,17.0,Rejected,0.0,0.0,0.0
Chennai,18.0,Rejected,0.0,0.0,0.0
Chennai,19.0,Rejected,0.0,0.0,0.0
Chennai,20.0,Rejected,0.0,0.0,0.0
Chennai,21.0,Rejected,0.0,0.0,0.0
Chennai,22.0,Rejected,0.0,0.0,0.0
Chennai,23.0,Rejected,0.0,0.0,0.0
Chennai,24.0,Rejected,0.0,0.0,0.0
Chennai,25.0,Rural,0.0,0.058437,0.453616
Chennai,26.0,PeriUrban,0.027757,0.672754,0.092768
Chennai,27.0,Urban,0.521549,0.462381,0.0
Chennai,28.0,PeriUrban,0.014936,0.629445,0.154339
Chennai,29.0,PeriUrban,0.23886,0.332359,0.027027
Chennai,30.0,Rejected,0.099343,0.234478,0.008035
Chennai,31.0,Rejected,0.0,0.0,0.0
Chennai,32.0,Rejected,0.0,0.0,0.0
Chennai,33.0,Rejected,0.0,0.0,0.0
Chennai,34.0,Rejected,0.0,0.0,0.0
Chennai,35.0,Rejected,0.0,0.0,0.0
Chennai,36.0,Rejected,0.0,0.0,0.0
Chennai,37.0,Rejected,0.0,0.0,0.0
Chennai,38.0,Rejected,0.0,0.0,0.0
Chennai,39.0,Rejected,0.0,0.0,0.0
Chennai,40.0,Rejected,0.0,0.0,0.0
Chennai,41.0,Rejected,0.0,0.0,0.0
Chennai,42.0,Rejected,0.0,0.0,0.004383
Chennai,43.0,Rejected,0.0,0.0,0.200146
Chennai,44.0,Rural,0.0,0.0,0.639883
Chennai,45.0,PeriUrban,0.0,0.642805,0.357195
Chennai,46.0,Urban,0.65084,0.34916,0.0
Chennai,47.0,PeriUrban,0.319346,0.680654,0.0
Chennai,48.0,Urban,0.975164,0.024836,0.0
Chennai,49.0,Urban,0.686633,0.308985,0.0
Chennai,50.0,PeriUrban,0.059167,0.7458,0.020453
Chennai,51.0,PeriUrban,0.318481,0.476991,0.043828
Chennai,52.0,PeriUrban,0.146822,0.474069,0.038714
Chennai,53.0,Rejected,0.0,0.088386,0.03141
Chennai,54.0,Rejected,0.0,0.0,0.011687
Chennai,55.0,Rejected,0.0,0.0,0.0
Chennai,56.0,Rejected,0.0,0.0,0.0
Chennai,57.0,Rejected,0.0,0.0,0.0
Chennai,58.0,PeriUrban,0.0,0.579985,0.084003
Chennai,59.0,PeriUrban,0.042367,0.693207,0.018992
Chennai,60.0,Rejected,0.035062,0.315559,0.0
Chennai,61.0,Rejected,0.0,0.181885,0.258583
Chennai,62.0,Rural,0.0,0.162893,0.807889
Chennai,63.0,Rural,0.0,0.20599,0.565376
Chennai,64.0,Rural,0.0,0.277575,0.722425
Chennai,65.0,PeriUrban,0.23813,0.76187,0.0
Chennai,66.0,Urban,0.547653,0.452347,0.0
Chennai,67.0,Urban,0.869978,0.130022,0.0
Chennai,68.0,PeriUrban,0.39664,0.60336,0.0
Chennai,69.0,PeriUrban,0.316289,0.683711,0.0
Chennai,70.0,PeriUrban,0.102264,0.897736,0.0
Chennai,71.0,PeriUrban,0.0,0.92038,0.07962
Chennai,72.0,PeriUrban,0.0,0.797663,0.202337
Chennai,73.0,Rejected,0.0,0.008035,0.356465
Chennai,74.0,Rejected,0.0,0.0,0.0
Chennai,75.0,Rejected,0.0,0.0,0.0
Chennai,76.0,Rural,0.0,0.335281,0.233747
Chennai,77.0,PeriUrban,0.438276,0.561724,0.0
Chennai,78.0,PeriUrban,0.398831,0.601169,0.0
Chennai,79.0,Urban,0.553689,0.446311,0.0
Chennai,80.0,Urban,0.859752,0.130752,0.0
Chennai,81.0,PeriUrban,0.395179,0.604821,0.0
Chennai,82.0,PeriUrban,0.084003,0.887509,0.028488
Chennai,83.0,PeriUrban,0.252009,0.701242,0.046749
