District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Hyderabad,0.0,Rejected,0.0,0.0,0.0
Hyderabad,1.0,Rejected,0.0,0.0,0.0
Hyderabad,2.0,Rejected,0.0,0.0,0.0
Hyderabad,3.0,Rejected,0.0,0.0,0.0
Hyderabad,4.0,Rejected,0.0,0.0,0.0
Hyderabad,5.0,Rejected,0.0,0.0,0.0
Hyderabad,6.0,Rejected,0.0,0.0,0.0
Hyderabad,7.0,Rejected,0.0,0.0,0.0
Hyderabad,8.0,Rejected,0.0,0.0,0.138057
Hyderabad,9.0,Rejected,0.0,0.0,0.426031
Hyderabad,10.0,Rural,0.0,0.125639,0.414171
Hyderabad,11.0,Rejected,0.0,0.292184,0.077429
Hyderabad,12.0,Rejected,0.0,0.017531,0.011687
Hyderabad,13.0,Rejected,0.0,0.0,0.0
Hyderabad,14.0,Rejected,0.0,0.0,0.0
Hyderabad,15.0,Rejected,0.0,0.0,0.0
Hyderabad,16.0,Rejected,0.0,0.0,0.0
Hyderabad,17.0,Rejected,0.0,0.0,0.0
Hyderabad,18.0,Rejected,0.0,0.0,0.0
Hyderabad,19.0,Rejected,0.0,0.0,0.0
Hyderabad,20.0,Rejected,0.0,0.0,0.0
Hyderabad,21.0,Rejected,0.0,0.0,0.0
Hyderabad,22.0,Rejected,0.0,0.0,0.0
Hyderabad,23.0,Rejected,0.0,0.0,0.0
Hyderabad,24.0,Rejected,0.0,0.0,0.005113
Hyderabad,25.0,Rejected,0.0,0.0,0.484295
Hyderabad,26.0,Rural,0.0,0.346238,0.479912
Hyderabad,27.0,Rural,0.0,0.003652,0.995617
Hyderabad,28.0,Rural,0.0,0.02845,0.97155
Hyderabad,29.0,Rural,0.005113,0.409788,0.585099
Hyderabad,30.0,PeriUrban,0.230825,0.769175,0.0
Hyderabad,31.0,Rural,0.0,0.263696,0.577064
Hyderabad,32.0,Rejected,0.0,0.0,0.123448
Hyderabad,33.0,Rejected,0.0,0.0,0.0
Hyderabad,34.0,Rejected,0.0,0.0,0.0
Hyderabad,35.0,Rejected,0.0,0.0,0.0
Hyderabad,36.0,Rejected,0.0,0.0,0.0
Hyderabad,37.0,Rejected,0.0,0.0,0.0
Hyderabad,38.0,Rejected,0.0,0.0,0.0
Hyderabad,39.0,Rejected,0.0,0.0,0.0
Hyderabad,40.0,Rejected,0.0,0.0,0.0
Hyderabad,41.0,Rejected,0.0,0.0,0.0
Hyderabad,42.0,Rejected,0.0,0.0,0.0
Hyderabad,43.0,Rejected,0.0,0.0,0.436085
Hyderabad,44.0,Rural,0.0,0.0,1.0
Hyderabad,45.0,Rural,0.0,0.0,1.0
Hyderabad,46.0,Rural,0.0,0.105917,0.894083
Hyderabad,47.0,PeriUrban,0.088193,0.674964,0.236842
Hyderabad,48.0,PeriUrban,0.069394,0.741417,0.189189
