Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
0,"[17.29, 78.38]",28,2,9117.0301,0.3291
1,"[17.3, 78.38]",24,4,8241.3526,0.4301
2,"[17.31, 78.38]",65,12,13197.3298,0.5286
3,"[17.32, 78.38]",27,2,8674.6419,0.4118
4,"[17.33, 78.38]",62,13,11779.0022,0.3859
5,"[17.34, 78.38]",106,27,15929.4796,0.4843
6,"[17.35, 78.38]",181,45,26167.3652,0.5084
7,"[17.36, 78.38]",165,54,22922.0523,0.5771
8,"[17.37, 78.38]",48,15,10452.6871,0.3207
9,"[17.38, 78.38]",99,16,14059.9648,0.3363
10,"[17.39, 78.38]",198,43,26995.0075,0.6128
11,"[17.4, 78.38]",208,40,27380.5927,0.5718
12,"[17.41, 78.38]",95,48,19263.2437,0.5197
13,"[17.42, 78.38]",23,3,6306.6261,0.2062
14,"[17.43, 78.38]",119,23,20616.6534,0.481
15,"[17.44, 78.38]",231,32,29644.0346,0.5401
16,"[17.45, 78.38]",145,33,23871.882,0.5645
17,"[17.46, 78.38]",67,9,13037.8666,0.4068
18,"[17.47, 78.38]",226,36,25228.0051,0.5124
19,"[17.29, 78.39]",39,9,10028.3344,0.3555
20,"[17.3, 78.39]",45,14,12393.7139,0.415
21,"[17.31, 78.39]",56,12,14242.1519,0.5095
22,"[17.32, 78.39]",37,13,12530.7688,0.5965
23,"[17.33, 78.39]",102,12,12915.3477,0.5642
24,"[17.34, 78.39]",62,4,10819.4079,0.5151
25,"[17.35, 78.39]",127,40,22471.1351,0.3837
26,"[17.36, 78.39]",201,29,25211.8379,0.5776
27,"[17.37, 78.39]",90,17,16216.588,0.4775
28,"[17.38, 78.39]",58,9,9590.1811,0.3639
29,"[17.39, 78.39]",171,46,23386.2559,0.525
30,"[17.4, 78.39]",326,60,34201.2976,0.6463
31,"[17.41, 78.39]",174,18,22206.5965,0.551
32,"[17.42, 78.39]",53,9,11591.4214,0.3846
33,"[17.43, 78.39]",147,14,21118.5212,0.5488
34,"[17.44, 78.39]",164,65,27709.3996,0.6208
35,"[17.45, 78.39]",187,64,29511.0174,0.6616
36,"[17.46, 78.39]",96,23,16170.2023,0.4353
37,"[17.47, 78.39]",80,12,12501.0885,0.4032
38,"[17.29, 78.4]",0,0,1606.9341,0.3015
39,"[17.3, 78.4]",15,2,7196.4712,0.4986
40,"[17.31, 78.4]",103,20,15141.7763,0.5752
41,"[17.32, 78.4]",90,15,15431.0558,0.4442
42,"[17.33, 78.4]",236,40,24833.485,0.6214
43,"[17.34, 78.4]",77,8,13509.3668,0.4398
44,"[17.35, 78.4]",151,29,21673.9023,0.5805
45,"[17.36, 78.4]",53,11,10293.4388,0.3486
46,"[17.37, 78.4]",115,21,19069.6557,0.4355
47,"[17.38, 78.4]",279,49,29669.7124,0.6366
48,"[17.39, 78.4]",191,35,23012.5032,0.5633
49,"[17.4, 78.4]",211,27,27771.2413,0.5404
50,"[17.41, 78.4]",170,27,21551.9973,0.5195
51,"[17.42, 78.4]",85,10,18624.2524,0.4989
52,"[17.43, 78.4]",103,5,18436.4991,0.559
53,"[17.44, 78.4]",145,76,22296.7377,0.4417
54,"[17.45, 78.4]",356,98,36193.8422,0.6172
55,"[17.46, 78.4]",98,33,14830.8021,0.3922
56,"[17.47, 78.4]",15,3,6130.9406,0.4296
57,"[17.29, 78.41]",82,13,14973.7644,0.4712
58,"[17.3, 78.41]",11,2,4973.1441,0.295
59,"[17.31, 78.41]",11,3,5792.4263,0.4379
60,"[17.32, 78.41]",86,17,15086.1973,0.4639
61,"[17.33, 78.41]",24,3,6803.1177,0.493
62,"[17.34, 78.41]",126,21,24220.5657,0.5703
63,"[17.35, 78.41]",141,22,20789.7129,0.5056
64,"[17.36, 78.41]",194,36,22881.7529,0.627
65,"[17.37, 78.41]",239,51,28573.3021,0.5464
66,"[17.38, 78.41]",191,54,24126.2492,0.5673
67,"[17.39, 78.41]",295,46,29114.4173,0.5874
68,"[17.4, 78.41]",409,58,38079.6706,0.6596
69,"[17.41, 78.41]",103,22,18961.4107,0.4503
70,"[17.42, 78.41]",67,14,16178.051,0.3965
71,"[17.43, 78.41]",142,19,21150.8517,0.5523
72,"[17.44, 78.41]",422,62,36573.3348,0.5758
73,"[17.45, 78.41]",412,153,43469.5951,0.6371
74,"[17.46, 78.41]",135,28,16328.3709,0.3955
75,"[17.47, 78.41]",74,11,14406.5114,0.5391
76,"[17.29, 78.42]",16,3,6296.5317,0.3619
77,"[17.3, 78.42]",114,22,21760.2817,0.4038
78,"[17.31, 78.42]",49,15,12669.354,0.4568
79,"[17.32, 78.42]",99,27,19126.4884,0.5085
80,"[17.33, 78.42]",80,25,15228.8812,0.4224
81,"[17.34, 78.42]",307,70,35522.6406,0.6042
82,"[17.35, 78.42]",237,39,30482.2392,0.5981
83,"[17.36, 78.42]",203,40,29613.0943,0.6046
84,"[17.37, 78.42]",191,30,27697.7691,0.5511
85,"[17.38, 78.42]",143,26,25329.2067,0.5635
86,"[17.39, 78.42]",245,31,28357.7549,0.6552
87,"[17.4, 78.42]",138,30,19019.9759,0.3792
88,"[17.41, 78.42]",73,7,16432.2929,0.5067
89,"[17.42, 78.42]",203,35,26385.9044,0.6204
90,"[17.43, 78.42]",256,59,31711.3123,0.6156
91,"[17.44, 78.42]",306,92,40324.733,0.6191
92,"[17.45, 78.42]",313,76,35171.5413,0.6749
93,"[17.46, 78.42]",251,65,26328.0832,0.5168
94,"[17.47, 78.42]",167,34,24459.986,0.6117
95,"[17.29, 78.43]",82,22,17225.1229,0.4763
96,"[17.3, 78.43]",134,38,20908.2274,0.5508
97,"[17.31, 78.43]",125,24,20096.399,0.6026
98,"[17.32, 78.43]",142,29,22748.2226,0.5603
99,"[17.33, 78.43]",105,30,14997.3744,0.4345
100,"[17.34, 78.43]",116,15,18423.4925,0.3776
101,"[17.35, 78.43]",328,56,31167.5345,0.5708
102,"[17.36, 78.43]",309,59,31333.7734,0.6674
103,"[17.37, 78.43]",232,37,21964.9608,0.5142
104,"[17.38, 78.43]",237,51,28902.4526,0.5985
105,"[17.39, 78.43]",220,32,29362.4659,0.5664
106,"[17.4, 78.43]",206,25,23125.4052,0.4772
107,"[17.41, 78.43]",261,43,29037.1295,0.6129
108,"[17.42, 78.43]",190,24,24194.8573,0.5846
109,"[17.43, 78.43]",281,50,31232.2893,0.6429
110,"[17.44, 78.43]",207,44,27880.2182,0.5587
111,"[17.45, 78.43]",191,37,25523.7822,0.5907
112,"[17.46, 78.43]",85,13,16472.9009,0.4918
113,"[17.47, 78.43]",26,9,9059.7653,0.4175
114,"[17.29, 78.44]",234,80,28640.9218,0.6619
115,"[17.3, 78.44]",173,54,24901.6208,0.6283
116,"[17.31, 78.44]",188,66,27095.2755,0.6498
117,"[17.32, 78.44]",193,56,28368.8469,0.5354
118,"[17.33, 78.44]",161,40,23805.6076,0.5828
119,"[17.34, 78.44]",42,3,7155.9191,0.3604
120,"[17.35, 78.44]",238,36,25239.9008,0.4838
121,"[17.36, 78.44]",321,71,33125.3301,0.3976
122,"[17.37, 78.44]",353,58,34801.7201,0.6879
123,"[17.38, 78.44]",384,61,37203.6212,0.69
124,"[17.39, 78.44]",282,35,31677.1054,0.6078
125,"[17.4, 78.44]",226,41,29462.5333,0.5147
126,"[17.41, 78.44]",176,23,22755.4042,0.5444
127,"[17.42, 78.44]",172,22,25438.7827,0.5291
128,"[17.43, 78.44]",266,31,30625.2604,0.6268
129,"[17.44, 78.44]",299,72,35610.3885,0.6771
130,"[17.45, 78.44]",279,71,34651.2953,0.6388
131,"[17.46, 78.44]",122,21,19963.2149,0.5318
132,"[17.47, 78.44]",45,5,10988.1362,0.3299
133,"[17.29, 78.45]",8,4,4434.7411,0.4613
134,"[17.3, 78.45]",37,6,8504.4586,0.4019
135,"[17.31, 78.45]",144,42,20065.3845,0.534
136,"[17.32, 78.45]",264,88,32799.8888,0.6589
137,"[17.33, 78.45]",441,107,42027.3121,0.6887
138,"[17.34, 78.45]",343,80,37000.0734,0.6919
139,"[17.35, 78.45]",234,29,28062.2305,0.5929
140,"[17.36, 78.45]",302,57,32280.2611,0.5528
141,"[17.37, 78.45]",335,63,34058.7805,0.6791
142,"[17.38, 78.45]",301,43,31067.8952,0.6455
143,"[17.39, 78.45]",292,59,32365.9639,0.6777
144,"[17.4, 78.45]",283,44,33327.6633,0.6401
145,"[17.41, 78.45]",197,34,26915.6183,0.5813
146,"[17.42, 78.45]",217,31,30543.8061,0.5523
147,"[17.43, 78.45]",180,17,26481.3783,0.559
148,"[17.44, 78.45]",160,25,21980.4058,0.3448
149,"[17.45, 78.45]",128,28,18134.685,0.3271
150,"[17.46, 78.45]",222,60,31590.897,0.5864
151,"[17.47, 78.45]",79,27,16410.8852,0.3726
152,"[17.29, 78.46]",241,90,30595.0039,0.6401
153,"[17.3, 78.46]",235,124,34140.5325,0.6441
154,"[17.31, 78.46]",270,82,33254.3895,0.6127
155,"[17.32, 78.46]",205,75,28987.7402,0.415
156,"[17.33, 78.46]",242,39,27529.1689,0.6017
157,"[17.34, 78.46]",282,46,30300.458,0.646
