Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
0,"[18.89, 72.77]",0,0,0.0,0.0
1,"[18.9, 72.77]",0,0,0.0,0.0
2,"[18.91, 72.77]",0,0,0.0,0.0
3,"[18.92, 72.77]",0,0,0.0,0.0
4,"[18.93, 72.77]",0,0,0.0,0.0
5,"[18.94, 72.77]",0,0,0.0,0.0
6,"[18.95, 72.77]",0,0,0.0,0.0
7,"[18.96, 72.77]",0,0,0.0,0.0
8,"[18.97, 72.77]",0,0,0.0,0.0
9,"[18.98, 72.77]",0,0,0.0,0.0
10,"[18.99, 72.77]",0,0,0.0,0.0
11,"[19.0, 72.77]",0,0,0.0,0.0
12,"[19.01, 72.77]",0,0,0.0,0.0
13,"[19.02, 72.77]",0,0,0.0,0.0
14,"[19.03, 72.77]",0,0,0.0,0.0
15,"[19.04, 72.77]",0,0,0.0,0.0
16,"[19.05, 72.77]",0,0,0.0,0.0
17,"[19.06, 72.77]",0,0,0.0,0.0
18,"[19.07, 72.77]",0,0,0.0,0.0
19,"[19.08, 72.77]",0,0,0.0,0.0
20,"[19.09, 72.77]",0,0,0.0,0.0
21,"[19.1, 72.77]",0,0,0.0,0.0
22,"[19.11, 72.77]",0,0,0.0,0.0
23,"[19.12, 72.77]",0,0,0.0,0.136
24,"[19.13, 72.77]",0,0,0.0,0.3405
25,"[19.14, 72.77]",0,0,0.0,0.0721
26,"[19.15, 72.77]",0,0,0.0,0.2268
27,"[19.16, 72.77]",0,0,0.0,0.2501
28,"[19.17, 72.77]",0,0,0.0,0.2153
29,"[19.18, 72.77]",0,0,0.0,0.1908
30,"[19.19, 72.77]",0,0,0.0,0.2869
31,"[19.2, 72.77]",0,0,0.0,0.2779
32,"[19.21, 72.77]",0,0,17.1718,0.2381
33,"[19.22, 72.77]",7,1,2616.2434,0.5735
34,"[19.23, 72.77]",0,0,0.0,0.3313
35,"[19.24, 72.77]",0,0,0.0,0.2607
