District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Bangalore,0.0,Rejected,0.0,0.0,0.0
Bangalore,1.0,Rejected,0.0,0.0,0.0
Bangalore,2.0,Rejected,0.0,0.0,0.0
Bangalore,3.0,Rejected,0.0,0.0,0.0
Bangalore,4.0,Rejected,0.0,0.0,0.0
Bangalore,5.0,Rejected,0.0,0.0,0.0
Bangalore,6.0,Rejected,0.0,0.0,0.0
Bangalore,7.0,Rejected,0.0,0.0,0.0
Bangalore,8.0,Rejected,0.0,0.0,0.0
Bangalore,9.0,Rejected,0.0,0.0,0.0
Bangalore,10.0,Rejected,0.0,0.0,0.0
Bangalore,11.0,Rejected,0.0,0.0,0.0
Bangalore,12.0,Rejected,0.0,0.0,0.0
Bangalore,13.0,Rejected,0.0,0.0,0.0
Bangalore,14.0,Rejected,0.0,0.0,0.0
Bangalore,15.0,Rejected,0.0,0.0,0.0
Bangalore,16.0,Rejected,0.0,0.0,0.0
Bangalore,17.0,Rejected,0.0,0.0,0.0
Bangalore,18.0,Rejected,0.0,0.0,0.0
Bangalore,19.0,Rejected,0.0,0.0,0.0
Bangalore,20.0,Rejected,0.0,0.0,0.0
Bangalore,21.0,Rejected,0.0,0.0,0.0
Bangalore,22.0,Rejected,0.0,0.0,0.0
Bangalore,23.0,Rejected,0.0,0.0,0.0
Bangalore,24.0,Rejected,0.0,0.0,0.0
Bangalore,25.0,Rejected,0.0,0.0,0.0
Bangalore,26.0,Rejected,0.0,0.0,0.001461
Bangalore,27.0,Rejected,0.0,0.0,0.0
Bangalore,28.0,Rejected,0.0,0.0,0.0
Bangalore,29.0,Rejected,0.0,0.0,0.105186
Bangalore,30.0,Rural,0.0,0.0,0.531045
Bangalore,31.0,Rural,0.0,0.0,0.63477
Bangalore,32.0,Rural,0.0,0.0,0.553689
Bangalore,33.0,Rejected,0.0,0.0,0.0
Bangalore,34.0,Rejected,0.0,0.0,0.0
Bangalore,35.0,Rejected,0.0,0.0,0.0
Bangalore,36.0,Rejected,0.0,0.0,0.0
Bangalore,37.0,Rejected,0.0,0.0,0.0
Bangalore,38.0,Rejected,0.0,0.0,0.0
Bangalore,39.0,Rejected,0.0,0.0,0.0
Bangalore,40.0,Rejected,0.0,0.0,0.0
Bangalore,41.0,Rejected,0.0,0.0,0.0
Bangalore,42.0,Rejected,0.0,0.0,0.0
Bangalore,43.0,Rejected,0.0,0.0,0.0
Bangalore,44.0,Rejected,0.0,0.0,0.0
Bangalore,45.0,Rejected,0.0,0.0,0.0
Bangalore,46.0,Rejected,0.0,0.0,0.0
Bangalore,47.0,Rejected,0.0,0.0,0.0
Bangalore,48.0,Rejected,0.0,0.0,0.0
Bangalore,49.0,Rejected,0.0,0.0,0.0
Bangalore,50.0,Rejected,0.0,0.0,0.0
Bangalore,51.0,Rejected,0.0,0.0,0.0
Bangalore,52.0,Rejected,0.0,0.0,0.0
Bangalore,53.0,Rejected,0.0,0.0,0.0
Bangalore,54.0,Rejected,0.0,0.0,0.0
Bangalore,55.0,Rejected,0.0,0.0,0.0
Bangalore,56.0,Rejected,0.0,0.0,0.0
Bangalore,57.0,Rejected,0.0,0.0,0.0
Bangalore,58.0,Rejected,0.0,0.0,0.0
Bangalore,59.0,Rejected,0.0,0.0,0.0
Bangalore,60.0,Rejected,0.0,0.0,0.0
Bangalore,61.0,Rejected,0.0,0.0,0.0
Bangalore,62.0,Rejected,0.0,0.0,0.0
Bangalore,63.0,Rejected,0.0,0.0,0.0
Bangalore,64.0,Rejected,0.0,0.0,0.0
Bangalore,65.0,Rejected,0.0,0.0,0.0
Bangalore,66.0,Rejected,0.0,0.0,0.0
Bangalore,67.0,Rejected,0.0,0.0,0.0
Bangalore,68.0,Rejected,0.0,0.0,0.0
Bangalore,69.0,Rejected,0.0,0.0,0.0
Bangalore,70.0,Rejected,0.0,0.0,0.0
Bangalore,71.0,Rejected,0.0,0.0,0.0
Bangalore,72.0,Rejected,0.0,0.0,0.0
Bangalore,73.0,Rejected,0.0,0.0,0.0
Bangalore,74.0,Rejected,0.0,0.0,0.0
Bangalore,75.0,Rejected,0.0,0.0,0.0
Bangalore,76.0,Rejected,0.0,0.0,0.0
Bangalore,77.0,Rejected,0.0,0.0,0.0
Bangalore,78.0,Rejected,0.0,0.0,0.0
Bangalore,79.0,Rejected,0.0,0.0,0.0
Bangalore,80.0,Rejected,0.0,0.0,0.0
Bangalore,81.0,Rejected,0.0,0.0,0.0
Bangalore,82.0,Rejected,0.0,0.0,0.113087
Bangalore,83.0,Rejected,0.0,0.0,0.497443
Bangalore,84.0,Rural,0.0,0.0,0.837838
Bangalore,85.0,Rural,0.0,0.0,0.731191
Bangalore,86.0,Rural,0.0,0.0,0.575603
Bangalore,87.0,Rural,0.0,0.0,0.753104
Bangalore,88.0,Rural,0.0,0.0,0.720964
Bangalore,89.0,Rural,0.0,0.0,1.0
Bangalore,90.0,Rural,0.0,0.0,1.0
Bangalore,91.0,Rejected,0.0,0.0,0.400292
Bangalore,92.0,Rejected,0.0,0.0,0.0
Bangalore,93.0,Rejected,0.0,0.0,0.0
Bangalore,94.0,Rejected,0.0,0.0,0.0
Bangalore,95.0,Rejected,0.0,0.0,0.0
Bangalore,96.0,Rejected,0.0,0.0,0.0
Bangalore,97.0,Rejected,0.0,0.0,0.0
Bangalore,98.0,Rejected,0.0,0.0,0.0
Bangalore,99.0,Rejected,0.0,0.0,0.0
Bangalore,100.0,Rejected,0.0,0.0,0.0
Bangalore,101.0,Rejected,0.0,0.0,0.0
Bangalore,102.0,Rejected,0.0,0.0,0.0
Bangalore,103.0,Rejected,0.0,0.0,0.0
Bangalore,104.0,Rejected,0.0,0.0,0.0
Bangalore,105.0,Rejected,0.0,0.0,0.0
Bangalore,106.0,Rejected,0.0,0.0,0.0
Bangalore,107.0,Rejected,0.0,0.0,0.0
Bangalore,108.0,Rejected,0.0,0.0,0.0
Bangalore,109.0,Rejected,0.0,0.0,0.0
Bangalore,110.0,Rejected,0.0,0.0,0.0
Bangalore,111.0,Rejected,0.0,0.0,0.0
Bangalore,112.0,Rejected,0.0,0.0,0.0
Bangalore,113.0,Rejected,0.0,0.0,0.0
Bangalore,114.0,Rejected,0.0,0.0,0.0
Bangalore,115.0,Rejected,0.0,0.0,0.0
Bangalore,116.0,Rejected,0.0,0.0,0.0
Bangalore,117.0,Rejected,0.0,0.0,0.0
Bangalore,118.0,Rejected,0.0,0.0,0.0
Bangalore,119.0,Rejected,0.0,0.0,0.0
Bangalore,120.0,Rejected,0.0,0.0,0.0
Bangalore,121.0,Rejected,0.0,0.0,0.0
Bangalore,122.0,Rejected,0.0,0.0,0.0
Bangalore,123.0,Rejected,0.0,0.0,0.0
Bangalore,124.0,Rejected,0.0,0.0,0.0
Bangalore,125.0,Rejected,0.0,0.0,0.0
Bangalore,126.0,Rejected,0.0,0.0,0.0
Bangalore,127.0,Rejected,0.0,0.0,0.0
Bangalore,128.0,Rejected,0.0,0.0,0.0
Bangalore,129.0,Rejected,0.0,0.0,0.0
Bangalore,130.0,Rejected,0.0,0.0,0.0
Bangalore,131.0,Rejected,0.0,0.0,0.0
Bangalore,132.0,Rejected,0.0,0.0,0.0
Bangalore,133.0,Rejected,0.0,0.0,0.0
Bangalore,134.0,Rejected,0.0,0.0,0.0
Bangalore,135.0,Rejected,0.0,0.0,0.0
Bangalore,136.0,Rejected,0.0,0.0,0.0
Bangalore,137.0,Rejected,0.0,0.0,0.0
Bangalore,138.0,Rejected,0.0,0.0,0.0
Bangalore,139.0,Rejected,0.0,0.0,0.0
Bangalore,140.0,Rural,0.0,0.0,0.833455
Bangalore,141.0,Rural,0.0,0.0,0.996444
Bangalore,142.0,Rural,0.0,0.0,1.0
Bangalore,143.0,Rural,0.0,0.0,1.0
Bangalore,144.0,Rural,0.0,0.0,1.0
Bangalore,145.0,Rural,0.0,0.0,1.0
Bangalore,146.0,Rural,0.0,0.0,1.0
Bangalore,147.0,Rural,0.0,0.0,1.0
Bangalore,148.0,Rural,0.0,0.0,1.0
Bangalore,149.0,Rural,0.0,0.0,1.0
Bangalore,150.0,Rural,0.0,0.0,0.514974
Bangalore,151.0,Rejected,0.0,0.0,0.00073
Bangalore,152.0,Rejected,0.0,0.0,0.0
Bangalore,153.0,Rejected,0.0,0.0,0.0
Bangalore,154.0,Rejected,0.0,0.0,0.0
Bangalore,155.0,Rejected,0.0,0.0,0.0
Bangalore,156.0,Rejected,0.0,0.0,0.0
Bangalore,157.0,Rejected,0.0,0.0,0.0
Bangalore,158.0,Rejected,0.0,0.0,0.0
Bangalore,159.0,Rejected,0.0,0.0,0.0
Bangalore,160.0,Rejected,0.0,0.0,0.0
Bangalore,161.0,Rejected,0.0,0.0,0.0
Bangalore,162.0,Rejected,0.0,0.0,0.0
Bangalore,163.0,Rejected,0.0,0.0,0.0
Bangalore,164.0,Rejected,0.0,0.0,0.0
Bangalore,165.0,Rejected,0.0,0.0,0.0
Bangalore,166.0,Rejected,0.0,0.0,0.0
Bangalore,167.0,Rejected,0.0,0.0,0.0
Bangalore,168.0,Rejected,0.0,0.0,0.0
Bangalore,169.0,Rejected,0.0,0.0,0.0
Bangalore,170.0,Rejected,0.0,0.0,0.0
Bangalore,171.0,Rejected,0.0,0.0,0.0
Bangalore,172.0,Rejected,0.0,0.0,0.0
Bangalore,173.0,Rejected,0.0,0.0,0.0
Bangalore,174.0,Rejected,0.0,0.0,0.0
Bangalore,175.0,Rejected,0.0,0.0,0.0
Bangalore,176.0,Rejected,0.0,0.0,0.0
Bangalore,177.0,Rejected,0.0,0.0,0.0
Bangalore,178.0,Rejected,0.0,0.0,0.0
Bangalore,179.0,Rejected,0.0,0.0,0.0
Bangalore,180.0,Rejected,0.0,0.0,0.0
Bangalore,181.0,Rejected,0.0,0.0,0.0
Bangalore,182.0,Rejected,0.0,0.0,0.0
Bangalore,183.0,Rejected,0.0,0.0,0.0
Bangalore,184.0,Rejected,0.0,0.0,0.0
Bangalore,185.0,Rejected,0.0,0.0,0.0
Bangalore,186.0,Rejected,0.0,0.0,0.0
Bangalore,187.0,Rejected,0.0,0.0,0.0
Bangalore,188.0,Rejected,0.0,0.0,0.0
Bangalore,189.0,Rejected,0.0,0.0,0.0
Bangalore,190.0,Rejected,0.0,0.0,0.0
Bangalore,191.0,Rejected,0.0,0.0,0.0
Bangalore,192.0,Rejected,0.0,0.0,0.0
Bangalore,193.0,Rejected,0.0,0.0,0.0
Bangalore,194.0,Rejected,0.0,0.0,0.0
Bangalore,195.0,Rejected,0.0,0.0,0.0
Bangalore,196.0,Rejected,0.0,0.0,0.0
Bangalore,197.0,Rejected,0.0,0.0,0.0
Bangalore,198.0,Rejected,0.0,0.0,0.004383
Bangalore,199.0,Rural,0.0,0.0,0.758948
Bangalore,200.0,Rural,0.0,0.0,1.0
Bangalore,201.0,Rural,0.0,0.0,1.0
Bangalore,202.0,Rural,0.0,0.0,1.0
Bangalore,203.0,Rural,0.0,0.0,1.0
Bangalore,204.0,Rural,0.0,0.0,1.0
Bangalore,205.0,Rural,0.0,0.0,1.0
Bangalore,206.0,Rural,0.0,0.0,1.0
Bangalore,207.0,Rural,0.0,0.0,1.0
Bangalore,208.0,Rural,0.0,0.0,1.0
Bangalore,209.0,Rural,0.0,0.0,1.0
Bangalore,210.0,Rural,0.0,0.0,0.616508
Bangalore,211.0,Rejected,0.0,0.0,0.0
Bangalore,212.0,Rejected,0.0,0.0,0.0
Bangalore,213.0,Rejected,0.0,0.0,0.0
Bangalore,214.0,Rejected,0.0,0.0,0.0
Bangalore,215.0,Rejected,0.0,0.0,0.0
Bangalore,216.0,Rejected,0.0,0.0,0.0
Bangalore,217.0,Rejected,0.0,0.0,0.0
Bangalore,218.0,Rejected,0.0,0.0,0.0
Bangalore,219.0,Rejected,0.0,0.0,0.0
Bangalore,220.0,Rejected,0.0,0.0,0.0
Bangalore,221.0,Rejected,0.0,0.0,0.0
Bangalore,222.0,Rejected,0.0,0.0,0.0
Bangalore,223.0,Rejected,0.0,0.0,0.0
Bangalore,224.0,Rejected,0.0,0.0,0.0
Bangalore,225.0,Rejected,0.0,0.0,0.0
Bangalore,226.0,Rejected,0.0,0.0,0.0
Bangalore,227.0,Rejected,0.0,0.0,0.0
Bangalore,228.0,Rejected,0.0,0.0,0.0
Bangalore,229.0,Rejected,0.0,0.0,0.0
Bangalore,230.0,Rejected,0.0,0.0,0.0
Bangalore,231.0,Rejected,0.0,0.0,0.0
Bangalore,232.0,Rejected,0.0,0.0,0.0
Bangalore,233.0,Rejected,0.0,0.0,0.0
Bangalore,234.0,Rejected,0.0,0.0,0.0
Bangalore,235.0,Rejected,0.0,0.0,0.0
Bangalore,236.0,Rejected,0.0,0.0,0.0
Bangalore,237.0,Rejected,0.0,0.0,0.0
Bangalore,238.0,Rejected,0.0,0.0,0.0
Bangalore,239.0,Rejected,0.0,0.0,0.0
Bangalore,240.0,Rejected,0.0,0.0,0.0
Bangalore,241.0,Rejected,0.0,0.0,0.0
Bangalore,242.0,Rejected,0.0,0.0,0.0
Bangalore,243.0,Rejected,0.0,0.0,0.0
Bangalore,244.0,Rejected,0.0,0.0,0.0
Bangalore,245.0,Rejected,0.0,0.0,0.0
Bangalore,246.0,Rejected,0.0,0.0,0.0
Bangalore,247.0,Rejected,0.0,0.0,0.0
Bangalore,248.0,Rejected,0.0,0.0,0.0
Bangalore,249.0,Rejected,0.0,0.0,0.0
Bangalore,250.0,Rejected,0.0,0.0,0.0
Bangalore,251.0,Rejected,0.0,0.0,0.0
Bangalore,252.0,Rejected,0.0,0.0,0.0
Bangalore,253.0,Rejected,0.0,0.0,0.0
Bangalore,254.0,Rejected,0.0,0.0,0.0
Bangalore,255.0,Rejected,0.0,0.0,0.0
Bangalore,256.0,Rejected,0.0,0.0,0.132213
Bangalore,257.0,Rural,0.0,0.0,0.82469
Bangalore,258.0,Rural,0.0,0.0,1.0
Bangalore,259.0,Rural,0.0,0.0,1.0
Bangalore,260.0,Rural,0.0,0.0,1.0
Bangalore,261.0,Rural,0.0,0.0,1.0
Bangalore,262.0,Rural,0.0,0.0,1.0
Bangalore,263.0,Rural,0.0,0.0,1.0
Bangalore,264.0,Rural,0.0,0.0,1.0
Bangalore,265.0,Rural,0.0,0.0,1.0
Bangalore,266.0,Rural,0.0,0.0,1.0
