District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Chennai,0.0,Rejected,0.0,0.0,0.0
Chennai,1.0,Rejected,0.0,0.0,0.0
Chennai,2.0,Rejected,0.0,0.0,0.0
Chennai,3.0,Rejected,0.0,0.0,0.0
Chennai,4.0,Rejected,0.0,0.0,0.0
Chennai,5.0,Rejected,0.0,0.0,0.0
Chennai,6.0,Rejected,0.0,0.0,0.0
Chennai,7.0,Rejected,0.0,0.0,0.0
Chennai,8.0,Rejected,0.0,0.0,0.002922
Chennai,9.0,Rejected,0.0,0.0,0.0
Chennai,10.0,Rejected,0.0,0.0,0.0
Chennai,11.0,Rejected,0.0,0.0,0.0
Chennai,12.0,Rejected,0.0,0.0,0.0
Chennai,13.0,Rejected,0.0,0.0,0.0
Chennai,14.0,Rejected,0.0,0.0,0.0
Chennai,15.0,Rejected,0.0,0.0,0.0
Chennai,16.0,Rejected,0.0,0.0,0.0
Chennai,17.0,Rejected,0.0,0.0,0.0
Chennai,18.0,Rejected,0.0,0.0,0.0
Chennai,19.0,Rejected,0.0,0.0,0.0
Chennai,20.0,Rejected,0.0,0.0,0.0
Chennai,21.0,Rejected,0.0,0.0,0.0
Chennai,22.0,Rejected,0.0,0.0,0.0
Chennai,23.0,Rejected,0.0,0.0,0.0
Chennai,24.0,Rejected,0.0,0.0,0.0
Chennai,25.0,Rejected,0.0,0.054785,0.41198
Chennai,26.0,PeriUrban,0.0,0.692476,0.067202
Chennai,27.0,PeriUrban,0.144631,0.802045,0.016801
Chennai,28.0,PeriUrban,0.0,0.582504,0.180654
Chennai,29.0,PeriUrban,0.177502,0.346238,0.042367
Chennai,30.0,Rejected,0.070855,0.219869,0.008766
Chennai,31.0,Rejected,0.0,0.0,0.0
Chennai,32.0,Rejected,0.0,0.0,0.0
Chennai,33.0,Rejected,0.0,0.0,0.0
Chennai,34.0,Rejected,0.0,0.0,0.0
Chennai,35.0,Rejected,0.0,0.0,0.0
Chennai,36.0,Rejected,0.0,0.0,0.0
Chennai,37.0,Rejected,0.0,0.0,0.0
Chennai,38.0,Rejected,0.0,0.0,0.0
Chennai,39.0,Rejected,0.0,0.0,0.0
Chennai,40.0,Rejected,0.0,0.0,0.0
Chennai,41.0,Rejected,0.0,0.0,0.0
Chennai,42.0,Rejected,0.0,0.0,0.00073
Chennai,43.0,Rejected,0.0,0.0,0.164354
Chennai,44.0,Rural,0.0,0.0,0.606282
Chennai,45.0,PeriUrban,0.0,0.656684,0.343316
Chennai,46.0,PeriUrban,0.200146,0.799854,0.0
Chennai,47.0,PeriUrban,0.105263,0.894737,0.0
Chennai,48.0,Urban,0.948137,0.051863,0.0
Chennai,49.0,Urban,0.52447,0.464573,0.0
Chennai,50.0,PeriUrban,0.016801,0.719503,0.04748
Chennai,51.0,PeriUrban,0.208912,0.525201,0.070855
Chennai,52.0,PeriUrban,0.0,0.565376,0.04821
Chennai,53.0,Rejected,0.0,0.069394,0.01607
Chennai,54.0,Rejected,0.0,0.0,0.005113
Chennai,55.0,Rejected,0.0,0.0,0.0
Chennai,56.0,Rejected,0.0,0.0,0.0
Chennai,57.0,Rejected,0.0,0.0,0.0
Chennai,58.0,PeriUrban,0.0,0.527392,0.085464
Chennai,59.0,PeriUrban,0.036523,0.661797,0.021183
Chennai,60.0,Rejected,0.018992,0.289262,0.0
Chennai,61.0,Rejected,0.0,0.156318,0.23813
Chennai,62.0,Rural,0.0,0.198685,0.756757
Chennai,63.0,Rural,0.0,0.17531,0.554419
Chennai,64.0,Rural,0.0,0.281958,0.718042
Chennai,65.0,PeriUrban,0.163623,0.836377,0.0
Chennai,66.0,PeriUrban,0.383357,0.616643,0.0
Chennai,67.0,PeriUrban,0.425858,0.574142,0.0
Chennai,68.0,PeriUrban,0.247626,0.752374,0.0
Chennai,69.0,PeriUrban,0.31775,0.68225,0.0
Chennai,70.0,PeriUrban,0.100804,0.899196,0.0
Chennai,71.0,PeriUrban,0.0,0.959094,0.040906
Chennai,72.0,PeriUrban,0.0,0.736304,0.263696
Chennai,73.0,Rejected,0.0,0.002191,0.328707
Chennai,74.0,Rejected,0.0,0.0,0.0
Chennai,75.0,Rejected,0.0,0.0,0.0
Chennai,76.0,Rural,0.0,0.306793,0.214025
Chennai,77.0,PeriUrban,0.374726,0.623083,0.0
Chennai,78.0,PeriUrban,0.263696,0.736304,0.0
Chennai,79.0,Urban,0.585829,0.41344,0.0
Chennai,80.0,Urban,0.787436,0.19065,0.0
Chennai,81.0,PeriUrban,0.39664,0.60336,0.0
Chennai,82.0,PeriUrban,0.050402,0.938641,0.010957
Chennai,83.0,PeriUrban,0.136596,0.813002,0.050402
