Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
0,"[12.95, 80.16]",31,5,7167.485,0.3196
1,"[12.96, 80.16]",95,7,16386.127,0.5336
2,"[12.97, 80.16]",30,2,10734.8937,0.5097
3,"[12.98, 80.16]",70,20,11963.4656,0.2471
4,"[12.99, 80.16]",0,0,3107.5251,0.4104
5,"[13.0, 80.16]",2,0,2125.9253,0.2729
6,"[13.01, 80.16]",55,6,11031.3378,0.494
7,"[13.02, 80.16]",143,27,21545.8286,0.6052
8,"[13.03, 80.16]",147,22,21567.3519,0.5564
9,"[13.04, 80.16]",190,44,28222.6822,0.6306
10,"[13.05, 80.16]",178,43,27091.5539,0.548
11,"[13.06, 80.16]",96,9,21051.2249,0.486
12,"[13.07, 80.16]",117,15,21079.6449,0.5445
13,"[13.08, 80.16]",117,17,22596.2384,0.5618
14,"[13.09, 80.16]",42,6,12113.9571,0.5659
15,"[13.1, 80.16]",60,7,16767.338,0.5396
16,"[13.11, 80.16]",60,17,18224.5313,0.3385
17,"[13.12, 80.16]",79,9,18149.73,0.5233
18,"[13.13, 80.16]",124,21,21727.8431,0.5754
19,"[12.95, 80.17]",125,17,19892.8697,0.6366
20,"[12.96, 80.17]",83,15,16205.7583,0.5919
21,"[12.97, 80.17]",28,2,8514.6015,0.3652
22,"[12.98, 80.17]",73,8,14511.3723,0.3873
23,"[12.99, 80.17]",4,1,2211.3209,0.1776
24,"[13.0, 80.17]",2,1,1969.7466,0.2754
25,"[13.01, 80.17]",104,9,14942.8027,0.5866
26,"[13.02, 80.17]",111,19,20448.6465,0.4627
27,"[13.03, 80.17]",188,32,25930.4659,0.6139
28,"[13.04, 80.17]",157,39,25020.4451,0.593
29,"[13.05, 80.17]",202,38,30026.2983,0.6341
30,"[13.06, 80.17]",144,34,23754.0241,0.5976
31,"[13.07, 80.17]",71,15,13244.3528,0.5704
32,"[13.08, 80.17]",105,29,21760.8313,0.6188
33,"[13.09, 80.17]",68,14,15761.2395,0.6297
34,"[13.1, 80.17]",50,5,12895.8029,0.5865
35,"[13.11, 80.17]",13,2,6120.8326,0.3937
36,"[13.12, 80.17]",47,3,7436.4506,0.3483
37,"[13.13, 80.17]",147,21,23909.0873,0.5355
38,"[12.95, 80.18]",121,22,21797.8096,0.5969
39,"[12.96, 80.18]",165,19,22054.1325,0.614
40,"[12.97, 80.18]",230,47,30245.8921,0.6671
41,"[12.98, 80.18]",147,31,24452.3114,0.6394
42,"[12.99, 80.18]",55,7,13618.4788,0.2625
43,"[13.0, 80.18]",15,2,5685.127,0.3914
44,"[13.01, 80.18]",76,20,15073.9448,0.5383
45,"[13.02, 80.18]",105,19,19061.1121,0.5454
46,"[13.03, 80.18]",220,25,26849.041,0.6299
47,"[13.04, 80.18]",202,41,27693.6142,0.6452
48,"[13.05, 80.18]",242,41,31723.5855,0.5871
49,"[13.06, 80.18]",186,29,26134.0942,0.5741
50,"[13.07, 80.18]",148,27,25545.16,0.5472
51,"[13.08, 80.18]",217,43,31902.0168,0.626
52,"[13.09, 80.18]",149,20,23310.8318,0.6232
53,"[13.1, 80.18]",105,18,20452.8622,0.5057
54,"[13.11, 80.18]",127,15,19721.141,0.5236
55,"[13.12, 80.18]",24,3,6452.5899,0.2092
56,"[13.13, 80.18]",24,5,10833.7339,0.3
57,"[12.95, 80.19]",164,30,26549.7527,0.5175
58,"[12.96, 80.19]",183,19,24975.3073,0.6605
59,"[12.97, 80.19]",188,39,27487.8205,0.6225
60,"[12.98, 80.19]",178,37,27990.2095,0.6393
61,"[12.99, 80.19]",138,18,21927.468,0.4849
62,"[13.0, 80.19]",75,13,15089.0285,0.5614
63,"[13.01, 80.19]",108,11,17068.3642,0.5639
64,"[13.02, 80.19]",56,4,10221.5788,0.3539
65,"[13.03, 80.19]",198,26,27006.7905,0.5985
66,"[13.04, 80.19]",189,19,26205.2689,0.5869
67,"[13.05, 80.19]",180,33,27629.0302,0.6402
68,"[13.06, 80.19]",120,20,21719.1888,0.5962
69,"[13.07, 80.19]",104,19,21574.3432,0.4702
70,"[13.08, 80.19]",164,21,30046.794,0.5503
71,"[13.09, 80.19]",163,19,25372.429,0.5658
72,"[13.1, 80.19]",97,11,17128.5859,0.4362
73,"[13.11, 80.19]",86,12,15324.36,0.4281
74,"[13.12, 80.19]",99,14,19469.663,0.4634
75,"[13.13, 80.19]",59,9,12610.5912,0.3602
76,"[12.95, 80.2]",117,21,24895.6173,0.5563
77,"[12.96, 80.2]",158,40,26639.5607,0.6431
78,"[12.97, 80.2]",151,42,26656.6966,0.5931
79,"[12.98, 80.2]",195,46,28608.8715,0.652
80,"[12.99, 80.2]",178,36,27520.1667,0.6346
81,"[13.0, 80.2]",163,21,27383.3236,0.5726
82,"[13.01, 80.2]",149,24,23161.8827,0.6183
83,"[13.02, 80.2]",151,21,23428.623,0.589
84,"[13.03, 80.2]",154,35,24879.7128,0.6009
85,"[13.04, 80.2]",188,26,27065.2114,0.5737
86,"[13.05, 80.2]",169,22,25820.5908,0.6061
87,"[13.06, 80.2]",118,22,21069.1294,0.3809
88,"[13.07, 80.2]",131,26,25491.5053,0.5434
89,"[13.08, 80.2]",126,35,25483.9301,0.5592
90,"[13.09, 80.2]",121,22,18074.7849,0.5876
91,"[13.1, 80.2]",215,34,29714.8691,0.6685
92,"[13.11, 80.2]",136,22,22350.1132,0.6064
93,"[13.12, 80.2]",131,27,24161.7934,0.643
94,"[13.13, 80.2]",85,9,17032.619,0.5716
95,"[12.95, 80.21]",60,5,8646.0638,0.3929
96,"[12.96, 80.21]",94,11,22648.73,0.5371
97,"[12.97, 80.21]",204,30,29514.4875,0.5906
98,"[12.98, 80.21]",176,18,25794.6456,0.5833
99,"[12.99, 80.21]",153,25,23157.7851,0.4465
100,"[13.0, 80.21]",63,9,14434.5919,0.452
101,"[13.01, 80.21]",109,11,16453.5176,0.5303
102,"[13.02, 80.21]",239,41,29302.9386,0.6406
103,"[13.03, 80.21]",140,39,25504.3158,0.6664
104,"[13.04, 80.21]",216,42,31114.9473,0.6556
105,"[13.05, 80.21]",190,26,28628.2125,0.6602
106,"[13.06, 80.21]",231,55,31728.9646,0.6214
107,"[13.07, 80.21]",175,23,27099.7095,0.5626
108,"[13.08, 80.21]",100,47,25961.2213,0.6345
109,"[13.09, 80.21]",119,34,21721.0389,0.5929
110,"[13.1, 80.21]",129,13,18773.6822,0.5739
111,"[13.11, 80.21]",133,44,27451.2961,0.6286
112,"[13.12, 80.21]",77,13,16331.3172,0.5772
113,"[13.13, 80.21]",77,7,14623.1093,0.5036
114,"[12.95, 80.22]",3,1,3626.6546,0.4864
115,"[12.96, 80.22]",6,2,4806.6015,0.2423
116,"[12.97, 80.22]",196,26,29075.8653,0.6096
117,"[12.98, 80.22]",185,19,23920.1754,0.5879
118,"[12.99, 80.22]",20,5,8849.0443,0.2938
