District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Chennai,0.0,Rejected,0.0,0.0,0.0
Chennai,1.0,Rejected,0.0,0.0,0.0
Chennai,2.0,Rejected,0.0,0.0,0.0
Chennai,3.0,Rejected,0.0,0.0,0.0
Chennai,4.0,Rejected,0.0,0.0,0.0
Chennai,5.0,Rejected,0.0,0.0,0.0
Chennai,6.0,Rejected,0.0,0.0,0.0
Chennai,7.0,Rejected,0.0,0.0,0.0
Chennai,8.0,Rejected,0.0,0.01534,0.0
Chennai,9.0,Rejected,0.0,0.0,0.0
Chennai,10.0,Rejected,0.0,0.0,0.0
Chennai,11.0,Rejected,0.0,0.0,0.0
Chennai,12.0,Rejected,0.0,0.0,0.0
Chennai,13.0,Rejected,0.0,0.0,0.0
Chennai,14.0,Rejected,0.0,0.0,0.0
Chennai,15.0,Rejected,0.0,0.0,0.0
Chennai,16.0,Rejected,0.0,0.0,0.0
Chennai,17.0,Rejected,0.0,0.0,0.0
Chennai,18.0,Rejected,0.0,0.0,0.0
Chennai,19.0,Rejected,0.0,0.0,0.0
Chennai,20.0,Rejected,0.0,0.0,0.0
Chennai,21.0,Rejected,0.0,0.0,0.0
Chennai,22.0,Rejected,0.0,0.0,0.0
Chennai,23.0,Rejected,0.0,0.0,0.0
Chennai,24.0,Rejected,0.0,0.0,0.0
Chennai,25.0,Rural,0.0,0.181154,0.330898
Chennai,26.0,PeriUrban,0.181154,0.607012,0.005113
Chennai,27.0,Urban,0.727538,0.256392,0.0
Chennai,28.0,PeriUrban,0.122333,0.623755,0.052632
Chennai,29.0,Urban,0.311907,0.28561,0.00073
Chennai,30.0,Rejected,0.129291,0.208912,0.003652
Chennai,31.0,Rejected,0.0,0.0,0.0
Chennai,32.0,Rejected,0.0,0.0,0.0
Chennai,33.0,Rejected,0.0,0.0,0.0
Chennai,34.0,Rejected,0.0,0.0,0.0
Chennai,35.0,Rejected,0.0,0.0,0.0
Chennai,36.0,Rejected,0.0,0.0,0.0
Chennai,37.0,Rejected,0.0,0.0,0.0
Chennai,38.0,Rejected,0.0,0.0,0.0
Chennai,39.0,Rejected,0.0,0.0,0.0
Chennai,40.0,Rejected,0.0,0.0,0.0
Chennai,41.0,Rejected,0.0,0.0,0.0
Chennai,42.0,Rejected,0.0,0.0,0.004383
Chennai,43.0,Rejected,0.0,0.0,0.200146
Chennai,44.0,Rural,0.0,0.043097,0.596786
Chennai,45.0,PeriUrban,0.195033,0.646457,0.15851
Chennai,46.0,Urban,1.0,0.0,0.0
Chennai,47.0,Urban,0.723329,0.276671,0.0
Chennai,48.0,Urban,1.0,0.0,0.0
Chennai,49.0,Urban,0.896275,0.099343,0.0
Chennai,50.0,PeriUrban,0.383492,0.437546,0.004383
Chennai,51.0,Urban,0.528123,0.304602,0.006574
Chennai,52.0,PeriUrban,0.319211,0.319942,0.020453
Chennai,53.0,Rejected,0.0,0.100804,0.018992
Chennai,54.0,Rejected,0.0,0.0,0.011687
Chennai,55.0,Rejected,0.0,0.0,0.0
Chennai,56.0,Rejected,0.0,0.0,0.0
Chennai,57.0,Rejected,0.0,0.0,0.0
Chennai,58.0,PeriUrban,0.128561,0.525931,0.009496
Chennai,59.0,PeriUrban,0.295836,0.458729,0.0
Chennai,60.0,Rejected,0.107378,0.243243,0.0
Chennai,61.0,Rejected,0.0,0.225712,0.214755
Chennai,62.0,Rural,0.0,0.356465,0.614317
Chennai,63.0,Rural,0.0,0.287071,0.484295
Chennai,64.0,Rural,0.0,0.371074,0.628926
Chennai,65.0,Urban,0.680058,0.319942,0.0
Chennai,66.0,Urban,0.83926,0.16074,0.0
Chennai,67.0,Urban,1.0,0.0,0.0
Chennai,68.0,Urban,0.868517,0.131483,0.0
Chennai,69.0,Urban,0.90431,0.09569,0.0
Chennai,70.0,Urban,0.530314,0.469686,0.0
Chennai,71.0,PeriUrban,0.112491,0.887509,0.0
Chennai,72.0,PeriUrban,0.260044,0.686633,0.053324
Chennai,73.0,Rejected,0.0,0.086194,0.278305
Chennai,74.0,Rejected,0.0,0.0,0.0
Chennai,75.0,Rejected,0.0,0.0,0.0
Chennai,76.0,Rural,0.033601,0.443389,0.092038
Chennai,77.0,Urban,0.7626,0.2374,0.0
Chennai,78.0,Urban,0.792549,0.207451,0.0
Chennai,79.0,Urban,0.930606,0.069394,0.0
Chennai,80.0,Urban,0.942294,0.04821,0.0
Chennai,81.0,Urban,0.525931,0.474069,0.0
Chennai,82.0,PeriUrban,0.233017,0.766983,0.0
Chennai,83.0,Urban,0.554419,0.433893,0.011687
Chennai,84.0,PeriUrban,0.279766,0.720234,0.0
Chennai,85.0,PeriUrban,0.492176,0.507824,0.0
