District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Gurgaon,0.0,Rejected,0.0,0.0,0.0
Gurgaon,1.0,Rejected,0.0,0.0,0.0
Gurgaon,2.0,Rejected,0.0,0.0,0.0
Gurgaon,3.0,Rejected,0.0,0.0,0.0
Gurgaon,4.0,Rejected,0.0,0.0,0.0
Gurgaon,5.0,Rejected,0.0,0.0,0.0
Gurgaon,6.0,Rejected,0.0,0.0,0.0
Gurgaon,7.0,Rejected,0.0,0.0,0.0
Gurgaon,8.0,Rejected,0.0,0.0,0.0
Gurgaon,9.0,Rejected,0.0,0.0,0.0
Gurgaon,10.0,Rejected,0.0,0.0,0.0
Gurgaon,11.0,Rejected,0.0,0.0,0.0
Gurgaon,12.0,Rejected,0.0,0.0,0.0
Gurgaon,13.0,Rejected,0.0,0.0,0.0
Gurgaon,14.0,Rejected,0.0,0.0,0.0
Gurgaon,15.0,Rejected,0.0,0.0,0.0
Gurgaon,16.0,Rejected,0.0,0.0,0.0
Gurgaon,17.0,Rejected,0.0,0.0,0.0
Gurgaon,18.0,Rejected,0.0,0.0,0.0
Gurgaon,19.0,Rejected,0.0,0.0,0.0
Gurgaon,20.0,Rejected,0.0,0.0,0.0
Gurgaon,21.0,Rejected,0.0,0.0,0.131483
Gurgaon,22.0,Rejected,0.0,0.0,0.0
Gurgaon,23.0,Rejected,0.0,0.0,0.0
Gurgaon,24.0,Rejected,0.0,0.0,0.0
Gurgaon,25.0,Rejected,0.0,0.0,0.0
Gurgaon,26.0,Rejected,0.0,0.0,0.0
Gurgaon,27.0,Rejected,0.0,0.0,0.0
Gurgaon,28.0,Rejected,0.0,0.0,0.0
Gurgaon,29.0,Rejected,0.0,0.0,0.0
Gurgaon,30.0,Rejected,0.0,0.0,0.0
Gurgaon,31.0,Rejected,0.0,0.0,0.0
Gurgaon,32.0,Rejected,0.0,0.0,0.0
Gurgaon,33.0,Rejected,0.0,0.0,0.0
Gurgaon,34.0,Rejected,0.0,0.0,0.0
Gurgaon,35.0,Rejected,0.0,0.0,0.0
Gurgaon,36.0,Rejected,0.0,0.0,0.0
Gurgaon,37.0,Rejected,0.0,0.0,0.0
Gurgaon,38.0,Rejected,0.0,0.0,0.0
Gurgaon,39.0,Rejected,0.0,0.0,0.0
Gurgaon,40.0,Rejected,0.0,0.0,0.0
Gurgaon,41.0,Rejected,0.0,0.0,0.0
Gurgaon,42.0,Rejected,0.0,0.0,0.0
Gurgaon,43.0,Rejected,0.0,0.0,0.0
Gurgaon,44.0,Rejected,0.0,0.0,0.0
Gurgaon,45.0,Rejected,0.0,0.0,0.0
Gurgaon,46.0,Rejected,0.0,0.0,0.0
Gurgaon,47.0,Rejected,0.0,0.0,0.075237
Gurgaon,48.0,Rejected,0.0,0.0,0.013879
Gurgaon,49.0,Rejected,0.0,0.0,0.0
Gurgaon,50.0,Rejected,0.0,0.0,0.0
Gurgaon,51.0,Rejected,0.0,0.0,0.0
Gurgaon,52.0,Rejected,0.0,0.0,0.0
Gurgaon,53.0,Rejected,0.0,0.0,0.0
Gurgaon,54.0,Rejected,0.0,0.0,0.0
Gurgaon,55.0,Rural,0.0,0.0,0.530314
Gurgaon,56.0,Rural,0.0,0.0,0.910153
Gurgaon,57.0,Rejected,0.0,0.0,0.073046
Gurgaon,58.0,Rejected,0.0,0.0,0.0
Gurgaon,59.0,Rejected,0.0,0.0,0.0
Gurgaon,60.0,Rejected,0.0,0.0,0.0
Gurgaon,61.0,Rejected,0.0,0.0,0.0
Gurgaon,62.0,Rejected,0.0,0.0,0.0
Gurgaon,63.0,Rejected,0.0,0.0,0.0
Gurgaon,64.0,Rejected,0.0,0.0,0.0
Gurgaon,65.0,Rejected,0.0,0.0,0.0
Gurgaon,66.0,Rejected,0.0,0.0,0.0
Gurgaon,67.0,Rejected,0.0,0.0,0.0
Gurgaon,68.0,Rejected,0.0,0.0,0.0
Gurgaon,69.0,Rejected,0.0,0.0,0.0
Gurgaon,70.0,Rejected,0.0,0.0,0.0
Gurgaon,71.0,Rejected,0.0,0.0,0.0
Gurgaon,72.0,Rejected,0.0,0.0,0.0
Gurgaon,73.0,Rejected,0.0,0.0,0.0
Gurgaon,74.0,Rejected,0.0,0.0,0.0
Gurgaon,75.0,Rejected,0.0,0.0,0.0
Gurgaon,76.0,Rejected,0.0,0.0,0.0
Gurgaon,77.0,Rejected,0.0,0.0,0.0
Gurgaon,78.0,Rejected,0.0,0.0,0.0
Gurgaon,79.0,Rejected,0.0,0.0,0.0
Gurgaon,80.0,Rejected,0.0,0.0,0.0
Gurgaon,81.0,Rejected,0.0,0.0,0.0
Gurgaon,82.0,Rural,0.0,0.0,0.719503
Gurgaon,83.0,Rural,0.0,0.0,0.871439
Gurgaon,84.0,Rural,0.0,0.0,0.712929
Gurgaon,85.0,Rural,0.0,0.0,0.640614
Gurgaon,86.0,Rural,0.0,0.0,0.79328
Gurgaon,87.0,Rejected,0.0,0.0,0.479374
Gurgaon,88.0,Rejected,0.0,0.0,0.267348
Gurgaon,89.0,Rural,0.0,0.0,0.566837
Gurgaon,90.0,Rural,0.0,0.0,0.994887
Gurgaon,91.0,Rural,0.0,0.0,1.0
Gurgaon,92.0,Rural,0.0,0.0,0.674945
Gurgaon,93.0,Rejected,0.0,0.0,0.00073
Gurgaon,94.0,Rejected,0.0,0.0,0.0
Gurgaon,95.0,Rejected,0.0,0.0,0.0
Gurgaon,96.0,Rejected,0.0,0.0,0.0
Gurgaon,97.0,Rejected,0.0,0.0,0.0
Gurgaon,98.0,Rejected,0.0,0.0,0.0
Gurgaon,99.0,Rejected,0.0,0.0,0.0
Gurgaon,100.0,Rejected,0.0,0.0,0.0
Gurgaon,101.0,Rejected,0.0,0.0,0.0
Gurgaon,102.0,Rejected,0.0,0.0,0.0
Gurgaon,103.0,Rejected,0.0,0.0,0.0
Gurgaon,104.0,Rejected,0.0,0.0,0.0
Gurgaon,105.0,Rejected,0.0,0.0,0.0
Gurgaon,106.0,Rejected,0.0,0.0,0.0
Gurgaon,107.0,Rejected,0.0,0.0,0.0
Gurgaon,108.0,Rejected,0.0,0.0,0.0
Gurgaon,109.0,Rejected,0.0,0.0,0.0
Gurgaon,110.0,Rejected,0.0,0.0,0.0
Gurgaon,111.0,Rejected,0.0,0.0,0.0
Gurgaon,112.0,Rejected,0.0,0.0,0.046749
Gurgaon,113.0,Rejected,0.0,0.0,0.059744
Gurgaon,114.0,Rejected,0.0,0.0,0.0
Gurgaon,115.0,Rejected,0.0,0.0,0.0
Gurgaon,116.0,Rejected,0.0,0.0,0.0
Gurgaon,117.0,Rural,0.0,0.0,0.796932
Gurgaon,118.0,Rural,0.0,0.0,1.0
Gurgaon,119.0,Rural,0.0,0.0,1.0
Gurgaon,120.0,Rural,0.0,0.0,1.0
Gurgaon,121.0,Rural,0.0,0.0,1.0
Gurgaon,122.0,Rural,0.0,0.0,1.0
Gurgaon,123.0,Rural,0.0,0.0,1.0
Gurgaon,124.0,Rural,0.0,0.0,1.0
Gurgaon,125.0,Rural,0.0,0.0,1.0
Gurgaon,126.0,Rural,0.0,0.0,1.0
Gurgaon,127.0,Rural,0.0,0.0,0.988313
Gurgaon,128.0,Rejected,0.0,0.0,0.448503
Gurgaon,129.0,Rejected,0.0,0.0,0.315559
Gurgaon,130.0,Rejected,0.0,0.0,0.041636
Gurgaon,131.0,Rejected,0.0,0.0,0.0
Gurgaon,132.0,Rejected,0.0,0.0,0.0
Gurgaon,133.0,Rejected,0.0,0.0,0.0
Gurgaon,134.0,Rejected,0.0,0.0,0.0
Gurgaon,135.0,Rejected,0.0,0.0,0.0
Gurgaon,136.0,Rejected,0.0,0.0,0.0
Gurgaon,137.0,Rejected,0.0,0.0,0.0
Gurgaon,138.0,Rejected,0.0,0.0,0.0
Gurgaon,139.0,Rejected,0.0,0.0,0.0
Gurgaon,140.0,Rejected,0.0,0.0,0.0
Gurgaon,141.0,Rejected,0.0,0.0,0.0
Gurgaon,142.0,Rejected,0.0,0.0,0.0
Gurgaon,143.0,Rejected,0.0,0.0,0.0
Gurgaon,144.0,Rejected,0.0,0.0,0.0
Gurgaon,145.0,Rejected,0.0,0.0,0.0
Gurgaon,146.0,Rejected,0.0,0.0,0.200146
Gurgaon,147.0,Rural,0.0,0.0,0.938641
Gurgaon,148.0,Rural,0.0,0.0,0.980085
Gurgaon,149.0,Rural,0.0,0.0,0.742878
Gurgaon,150.0,Rejected,0.0,0.0,0.454346
Gurgaon,151.0,Rejected,0.0,0.0,0.311907
Gurgaon,152.0,Rural,0.0,0.0,0.945946
Gurgaon,153.0,Rural,0.0,0.0,1.0
Gurgaon,154.0,Rural,0.0,0.0,1.0
Gurgaon,155.0,Rural,0.0,0.0,1.0
Gurgaon,156.0,Rural,0.0,0.0,1.0
Gurgaon,157.0,Rural,0.0,0.0,1.0
Gurgaon,158.0,Rural,0.0,0.0,1.0
Gurgaon,159.0,Rural,0.0,0.0,1.0
Gurgaon,160.0,Rural,0.0,0.0,1.0
Gurgaon,161.0,Rural,0.0,0.0,1.0
Gurgaon,162.0,Rural,0.0,0.0,1.0
Gurgaon,163.0,Rural,0.0,0.0,1.0
Gurgaon,164.0,Rural,0.0,0.0,1.0
Gurgaon,165.0,Rural,0.0,0.0,0.820307
Gurgaon,166.0,Rejected,0.0,0.0,0.0
Gurgaon,167.0,Rejected,0.0,0.0,0.0
Gurgaon,168.0,Rejected,0.0,0.0,0.0
Gurgaon,169.0,Rejected,0.0,0.0,0.0
Gurgaon,170.0,Rejected,0.0,0.0,0.0
Gurgaon,171.0,Rejected,0.0,0.0,0.0
Gurgaon,172.0,Rejected,0.0,0.0,0.0
Gurgaon,173.0,Rejected,0.0,0.0,0.0
Gurgaon,174.0,Rejected,0.0,0.0,0.0
Gurgaon,175.0,Rejected,0.0,0.0,0.0
Gurgaon,176.0,Rejected,0.0,0.0,0.0
Gurgaon,177.0,Rejected,0.0,0.0,0.0
Gurgaon,178.0,Rejected,0.0,0.0,0.0
Gurgaon,179.0,Rejected,0.0,0.0,0.0
Gurgaon,180.0,Rejected,0.0,0.0,0.0
Gurgaon,181.0,Rejected,0.0,0.0,0.28561
Gurgaon,182.0,Rural,0.0,0.0,1.0
Gurgaon,183.0,Rural,0.0,0.0,1.0
Gurgaon,184.0,Rural,0.0,0.0,1.0
Gurgaon,185.0,Rural,0.0,0.0,1.0
Gurgaon,186.0,Rural,0.0,0.0,1.0
Gurgaon,187.0,Rural,0.0,0.0,1.0
Gurgaon,188.0,Rural,0.0,0.0,1.0
Gurgaon,189.0,Rural,0.0,0.0,1.0
Gurgaon,190.0,Rural,0.0,0.0,1.0
Gurgaon,191.0,Rural,0.0,0.0,1.0
Gurgaon,192.0,Rural,0.0,0.0,1.0
Gurgaon,193.0,Rural,0.0,0.0,1.0
Gurgaon,194.0,Rural,0.0,0.0,1.0
Gurgaon,195.0,Rural,0.0,0.0,1.0
Gurgaon,196.0,Rural,0.0,0.0,1.0
Gurgaon,197.0,Rural,0.0,0.0,1.0
Gurgaon,198.0,Rural,0.0,0.0,1.0
Gurgaon,199.0,Rural,0.0,0.0,1.0
Gurgaon,200.0,Rural,0.0,0.0,0.887509
Gurgaon,201.0,Rejected,0.0,0.0,0.000711
Gurgaon,202.0,Rejected,0.0,0.0,0.0
Gurgaon,203.0,Rejected,0.0,0.0,0.0
Gurgaon,204.0,Rejected,0.0,0.0,0.0
Gurgaon,205.0,Rejected,0.0,0.0,0.0
Gurgaon,206.0,Rejected,0.0,0.0,0.0
Gurgaon,207.0,Rejected,0.0,0.0,0.0
Gurgaon,208.0,Rejected,0.0,0.0,0.0
Gurgaon,209.0,Rejected,0.0,0.0,0.0
Gurgaon,210.0,Rejected,0.0,0.0,0.0
Gurgaon,211.0,Rejected,0.0,0.0,0.0
Gurgaon,212.0,Rejected,0.0,0.0,0.0
Gurgaon,213.0,Rejected,0.0,0.0,0.0
Gurgaon,214.0,Rejected,0.0,0.0,0.0
Gurgaon,215.0,Rejected,0.0,0.0,0.0
Gurgaon,216.0,Rejected,0.0,0.0,0.387144
Gurgaon,217.0,Rural,0.0,0.0,1.0
Gurgaon,218.0,Rural,0.0,0.0,1.0
Gurgaon,219.0,Rural,0.0,0.0,1.0
Gurgaon,220.0,Rural,0.0,0.0,1.0
Gurgaon,221.0,Rural,0.0,0.0,1.0
Gurgaon,222.0,Rural,0.0,0.0,1.0
Gurgaon,223.0,Rural,0.0,0.0,1.0
Gurgaon,224.0,Rural,0.0,0.0,1.0
Gurgaon,225.0,Rural,0.0,0.0,1.0
Gurgaon,226.0,Rural,0.0,0.0,1.0
Gurgaon,227.0,Rural,0.0,0.0,1.0
Gurgaon,228.0,Rural,0.0,0.0,1.0
Gurgaon,229.0,Rural,0.0,0.0,1.0
Gurgaon,230.0,Rural,0.0,0.0,1.0
Gurgaon,231.0,Rural,0.0,0.0,1.0
Gurgaon,232.0,Rural,0.0,0.0,1.0
Gurgaon,233.0,Rural,0.0,0.0,1.0
Gurgaon,234.0,Rural,0.0,0.0,1.0
Gurgaon,235.0,Rural,0.0,0.0,1.0
Gurgaon,236.0,Rejected,0.0,0.0,0.157895
Gurgaon,237.0,Rejected,0.0,0.0,0.002922
Gurgaon,238.0,Rejected,0.0,0.0,0.107378
Gurgaon,239.0,Rejected,0.0,0.0,0.018992
Gurgaon,240.0,Rejected,0.0,0.0,0.0
Gurgaon,241.0,Rejected,0.0,0.0,0.0
Gurgaon,242.0,Rejected,0.0,0.0,0.0
Gurgaon,243.0,Rejected,0.0,0.0,0.0
Gurgaon,244.0,Rejected,0.0,0.0,0.0
Gurgaon,245.0,Rejected,0.0,0.0,0.0
Gurgaon,246.0,Rejected,0.0,0.0,0.0
Gurgaon,247.0,Rejected,0.0,0.0,0.0
Gurgaon,248.0,Rejected,0.0,0.0,0.0
Gurgaon,249.0,Rejected,0.0,0.0,0.0
Gurgaon,250.0,Rejected,0.0,0.0,0.0
Gurgaon,251.0,Rejected,0.0,0.0,0.252739
Gurgaon,252.0,Rural,0.0,0.0,1.0
Gurgaon,253.0,Rural,0.0,0.0,1.0
Gurgaon,254.0,Rural,0.0,0.0,1.0
Gurgaon,255.0,Rural,0.0,0.0,1.0
Gurgaon,256.0,Rural,0.0,0.0,1.0
Gurgaon,257.0,Rural,0.0,0.0,1.0
Gurgaon,258.0,Rural,0.0,0.0,1.0
Gurgaon,259.0,Rural,0.0,0.0,1.0
Gurgaon,260.0,Rural,0.0,0.0,1.0
Gurgaon,261.0,Rural,0.0,0.0,1.0
Gurgaon,262.0,Rural,0.0,0.0,1.0
Gurgaon,263.0,Rural,0.0,0.0,1.0
Gurgaon,264.0,Rural,0.0,0.0,1.0
Gurgaon,265.0,Rural,0.0,0.0,1.0
Gurgaon,266.0,Rural,0.0,0.0,1.0
Gurgaon,267.0,Rural,0.0,0.0,1.0
Gurgaon,268.0,Rural,0.0,0.0,1.0
Gurgaon,269.0,Rural,0.0,0.0,1.0
