District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Hyderabad,0.0,Rejected,0.0,0.0,0.0
Hyderabad,1.0,Rejected,0.0,0.0,0.0
Hyderabad,2.0,Rejected,0.0,0.0,0.0
Hyderabad,3.0,Rejected,0.0,0.0,0.0
Hyderabad,4.0,Rejected,0.0,0.0,0.0
Hyderabad,5.0,Rejected,0.0,0.0,0.0
Hyderabad,6.0,Rejected,0.0,0.0,0.0
Hyderabad,7.0,Rejected,0.0,0.0,0.0
Hyderabad,8.0,Rejected,0.0,0.0,0.138057
Hyderabad,9.0,Rejected,0.0,0.0,0.426031
Hyderabad,10.0,Rural,0.06355,0.341855,0.134405
Hyderabad,11.0,Rejected,0.074507,0.295106,0.0
Hyderabad,12.0,Rejected,0.0,0.029218,0.0
Hyderabad,13.0,Rejected,0.0,0.0,0.0
Hyderabad,14.0,Rejected,0.0,0.0,0.0
Hyderabad,15.0,Rejected,0.0,0.0,0.0
Hyderabad,16.0,Rejected,0.0,0.0,0.0
Hyderabad,17.0,Rejected,0.0,0.0,0.0
Hyderabad,18.0,Rejected,0.0,0.0,0.0
Hyderabad,19.0,Rejected,0.0,0.0,0.0
Hyderabad,20.0,Rejected,0.0,0.0,0.0
Hyderabad,21.0,Rejected,0.0,0.0,0.0
Hyderabad,22.0,Rejected,0.0,0.0,0.0
Hyderabad,23.0,Rejected,0.0,0.0,0.0
Hyderabad,24.0,Rejected,0.0,0.0,0.005113
Hyderabad,25.0,Rejected,0.0,0.2374,0.246896
Hyderabad,26.0,PeriUrban,0.0,0.750913,0.075237
Hyderabad,27.0,Rural,0.0,0.160701,0.838568
Hyderabad,28.0,Rural,0.0,0.061166,0.938834
Hyderabad,29.0,PeriUrban,0.176041,0.447042,0.376917
Hyderabad,30.0,Urban,0.848064,0.151936,0.0
Hyderabad,31.0,Rural,0.002922,0.441198,0.39664
Hyderabad,32.0,Rejected,0.0,0.0,0.123448
Hyderabad,33.0,Rejected,0.0,0.0,0.0
Hyderabad,34.0,Rejected,0.0,0.0,0.0
Hyderabad,35.0,Rejected,0.0,0.0,0.0
Hyderabad,36.0,Rejected,0.0,0.0,0.0
Hyderabad,37.0,Rejected,0.0,0.0,0.0
Hyderabad,38.0,Rejected,0.0,0.0,0.0
Hyderabad,39.0,Rejected,0.0,0.0,0.0
Hyderabad,40.0,Rejected,0.0,0.0,0.0
Hyderabad,41.0,Rejected,0.0,0.0,0.0
Hyderabad,42.0,Rejected,0.0,0.0,0.0
Hyderabad,43.0,Rejected,0.0,0.0,0.436085
Hyderabad,44.0,Rural,0.0,0.250548,0.749452
Hyderabad,45.0,Rural,0.0,0.138057,0.861943
Hyderabad,46.0,Rural,0.001461,0.133674,0.864865
Hyderabad,47.0,PeriUrban,0.296586,0.526316,0.177098
Hyderabad,48.0,PeriUrban,0.157779,0.785975,0.056245
